RWS_DAU_10,RWS_10,DS_10,GS_10,SD_10,FF_10,DD_10,PP_10,TT_10,TM5_10,RF_10,load
0,0.0,17.2,17.3,0.0,40.7,1980,6041.9,15.8,15.600000000000001,431.1,548.5354445503672
0,0.0,11.3,11.3,0.0,39.2,1950,6045.8,15.600000000000001,14.6,437.0,764.5716329745367
29,0.0,2.6,2.6,0.0,42.2,1980,6051.6,14.5,12.4,449.4,479.7970466251653
52,0.0,0.0,0.0,0.0,31.6,1970,6055.9,11.3,8.8,483.8,528.9155062756802
10,0.0,0.0,0.0,0.0,30.5,2030,6058.3,12.600000000000001,10.1,470.3,842.3322911994402
0,0.0,0.0,0.0,0.0,28.4,2060,6062.6,13.8,11.1,456.6,1254.028166324744
0,0.0,0.0,0.0,0.0,26.5,2050,6067.4,15.3,12.0,437.4,1120.8294782253884
7,0.0,0.0,0.0,0.0,24.0,2130,6072.7,14.1,10.6,458.3,1050.050258750147
0,0.0,0.0,0.0,0.0,19.2,2100,6076.8,14.1,10.6,457.40000000000003,1015.2970045997163
0,0.0,0.0,0.0,0.0,18.4,2100,6080.2,13.5,10.2,455.8,820.3071140744667
0,0.0,0.0,0.0,0.0,18.8,2110,6083.7,13.0,9.1,455.6,670.2267120009961
0,0.0,0.0,0.0,0.0,27.7,1460,6087.0,12.1,8.3,446.79999999999995,578.2027387501072
0,0.0,0.0,0.0,0.0,26.2,2160,6089.2,10.5,6.3,445.8,517.8114670243158
0,0.0,0.0,0.0,0.0,24.7,2150,6091.9,6.5,-2.4,455.9,446.760546549825
0,0.0,0.0,0.0,0.0,19.2,2140,6096.2,1.7000000000000002,-8.799999999999999,465.7,392.2317619506541
0,0.0,0.0,0.0,0.0,19.7,420,6098.3,2.5,-4.5,433.4,370.68204344957655
0,0.0,0.0,0.0,0.0,11.5,450,6098.3,2.4,-3.8000000000000003,450.6,377.3373622250771
0,0.0,0.0,0.0,0.0,9.5,1930,6099.1,-2.0,-6.7,479.3,386.39532422484956
0,0.0,0.0,0.0,0.0,11.600000000000001,1990,6102.0,-0.30000000000000004,-3.7,474.3,596.1996289749718
0,0.0,0.5,0.5,0.0,13.3,1970,6105.6,-1.3,-6.8,478.7,953.6171742503539
0,0.0,9.2,9.2,0.0,14.0,1810,6108.0,-5.9,-11.2,519.2,591.6053908000831
0,0.0,34.0,41.4,0.4,12.7,1740,6111.1,-0.5,2.3000000000000003,517.6,521.7120851749539
0,0.0,45.8,52.3,0.267,12.0,1670,6112.8,4.6,10.5,499.79999999999995,505.710390349776
0,0.0,33.6,33.8,0.0,14.2,1720,6112.0,6.8,12.1,492.4,490.56549009992494
0,0.0,33.9,34.0,0.0,16.8,1830,6110.0,7.3,12.5,441.2,493.3773549250585
0,0.0,30.4,30.5,0.0,13.9,1940,6108.6,8.5,10.7,427.9,441.43125565042817
0,0.0,11.4,11.4,0.0,9.2,1680,6108.5,8.4,8.4,445.0,467.12501719966303
